GIS_LATITUDE,GIS_LONGITUDE,GIS_OH_MATERIAL
32.73486521935415,-117.1054936553886,WOOD
33.37267952417931,-117.22709664019315,WOOD
33.09498919976244,-117.09612294860118,WOOD
33.3190226980003,-116.88045625306428,STEEL
32.738822983946136,-116.75792163607542,WOOD
32.680905649982414,-117.0616988084155,WOOD
33.097525863307915,-116.60682563920662,STEEL
33.03354365238058,-116.881344672868,STEEL
32.79139096674609,-117.11933451186184,WOOD
33.36043731683063,-117.06250566482476,WOOD
33.33372703162976,-117.20689658653798,WOOD
33.1654813989381,-116.6747310205656,WOOD
33.23074840253677,-117.21359769131776,WOOD
33.080049659161894,-116.79664906791216,STEEL
33.048270895378884,-116.82565283447734,WOOD
32.75978129522143,-117.08737655022595,WOOD
32.85240047465262,-116.74609267618844,WOOD
32.74734664080053,-117.03918741200684,WOOD
32.917462351155024,-116.88298476189722,WOOD
33.07757273796906,-117.29113650143468,WOOD
32.63831190724435,-117.07431582757152,WOOD
32.95406014273885,-117.02855607280873,WOOD
32.737729740876325,-117.22797476175582,WOOD
33.226815662850875,-117.06735437595503,WOOD
33.229113414471186,-117.2388563489642,WOOD
32.748002993490005,-117.13290117775448,WOOD
32.80693668711567,-117.23752378003684,WOOD
32.70941825194405,-117.01091859509312,WOOD
32.731769618694166,-116.82390484282162,WOOD
32.670617779601734,-116.48766000661276,WOOD
33.29495069128199,-116.36665776765598,WOOD
32.72553528702959,-117.12503479302028,WOOD
33.20213769819841,-117.2320485847199,WOOD
32.771211085064664,-117.07399169471708,WOOD
32.69984311905682,-117.11946715540785,WOOD
33.4148855731858,-117.28936985167483,WOOD
33.00294677854628,-116.91720428165084,WOOD
32.845582426186745,-116.9321939324679,WOOD
32.84115877367556,-116.99531534714944,WOOD
32.7470419610546,-117.22110371675822,WOOD
32.77526315525446,-116.72704665798793,WOOD
,,WOOD
33.20661703127554,-117.37188838211532,WOOD
33.30173787243572,-117.16003015527812,WOOD
32.847457940712964,-116.86820762670928,WOOD
33.10500390178461,-117.08441810533093,WOOD
32.74944471502476,-117.24099015645174,WOOD
32.77293975777103,-117.25043260924626,WOOD
32.7491001981989,-117.04547408182007,WOOD
33.376485692944534,-117.2463912312078,WOOD
32.7037334200368,-117.09313667723552,WOOD
32.79315156447632,-116.8982114438997,WOOD
33.34351011957465,-117.21448556128844,WOOD
33.379264491130066,-117.24765714702592,WOOD
32.68453266900768,-117.11409312758656,WOOD
32.699529829772054,-117.10810542928392,WOOD
32.603512301236776,-116.59830875358396,WOOD
33.065271872630305,-116.98225273110538,WOOD
33.0966437170683,-116.63286513626346,STEEL
33.184796664128086,-117.1482264079966,WOOD
33.201087105875644,-117.26588517786207,WOOD
32.805012354441104,-116.8716640408276,STEEL
32.746494517813886,-117.15535728641817,WOOD
33.284535937121774,-116.70324612353949,WOOD
32.622214606811845,-117.07467708404708,WOOD
33.02457612172217,-116.5770752428127,WOOD
32.96605336722829,-117.05940687744304,WOOD
32.955970946869925,-117.25756142257448,WOOD
32.57028411597068,-117.12019756086757,WOOD
32.76514190201144,-117.06611910216787,WOOD
32.740146424679374,-117.12658027849822,WOOD
33.23522810145553,-117.05194374149832,WOOD
32.71217517447082,-117.12964881541288,WOOD
33.16706262022142,-117.20831015800508,WOOD
32.71848685287421,-117.24277605462476,WOOD
32.80540899671269,-117.00987941538152,WOOD
33.01071956736139,-116.88083952584547,WOOD
32.927557876279664,-116.98607509796804,STEEL
32.83081073573808,-116.70121983029476,WOOD
32.68878802721509,-117.07461628695869,WOOD
32.78914764759486,-117.08406518349756,WOOD
32.69993762510942,-117.07615376304832,WOOD
32.72007149017831,-117.06075466374708,WOOD
33.18510479456999,-117.2297107132322,WOOD
33.07367752923804,-116.86325455265458,WEATH
32.73143365997681,-117.25115482794772,WOOD
32.75723141180568,-117.06787574025545,WOOD
32.680798015695466,-116.3018195281349,WOOD
33.203154308179045,-117.21189727821692,WOOD
32.83817057140261,-117.13253937497473,WOOD
33.16501129669332,-117.1974614998872,WOOD
32.826744743107724,-117.21380634462486,WOOD
32.7045975364529,-117.07645637890307,WOOD
32.82883905938592,-117.20737653345468,WOOD
32.7611486436259,-117.01746784458491,WOOD
32.7062476334074,-116.79973535527265,STEEL
32.63849572120383,-117.08664844330458,WOOD
33.38435629428015,-116.69600069244449,STEEL
33.415635200843084,-116.80013004045,WOOD
33.243980423301885,-117.0731942622112,WOOD
32.76898846218764,-117.11837130627376,WOOD
32.749035568179096,-117.22087222099192,WOOD
32.73528945409005,-117.04455505191342,WOOD
32.97216580407527,-116.903846875165,STEEL
33.24253010574505,-116.34211661914948,WOOD
32.76616620801727,-117.05534438501108,WOOD
33.153248938890094,-117.06909843714656,STEEL
33.33642123479136,-116.89275063737448,STEEL
32.71214324246838,-116.86564594296168,WOOD
32.7372241821255,-117.24602724657127,WOOD
33.31884892794657,-117.164681216066,WOOD
32.76899936203401,-117.08263367250971,WOOD
32.67297630683584,-117.0763964714319,WOOD
32.86413816098836,-117.003889248278,WOOD
33.07737470771912,-116.74379554928495,STEEL
32.69250997541595,-117.07462762284705,WOOD
32.75779357835818,-117.049090606989,WOOD
33.38751121975572,-117.21076837692664,WOOD
32.59525686334551,-117.06370666368736,WOOD
33.25091785126889,-117.23052145603128,WOOD
32.73151394398805,-117.0450297058929,WOOD
,,WEATH
32.894118825526995,-116.94613550166996,WOOD
33.18129462685522,-116.7480250512812,WOOD
33.327493150855865,-117.0893370792132,STEEL
32.80555806221502,-117.00164763139364,WOOD
33.212756786212466,-117.25782875712784,WOOD
32.7622787326161,-117.13580104882554,WOOD
33.02602861929526,-116.56881702455246,STEEL
32.5642913907236,-117.05364546997328,WOOD
33.37015378906756,-116.7439908963668,WOOD
32.79939112849254,-116.9239092377544,WOOD
32.57198371733715,-117.08599912394894,WOOD
32.63993144560302,-117.10310175105114,WOOD
33.05509109282386,-116.94484731332923,WOOD
32.77367197043255,-116.58258102522566,STEEL
32.77653805213743,-117.08507099391238,WOOD
33.024475953915136,-116.87799664208508,WOOD
33.07041523660904,-117.19997922552324,WOOD
32.77265563244686,-116.7269099217199,WOOD
33.14006775975435,-117.17673884374152,WOOD
32.60326178130345,-116.58015850307346,WOOD
32.78064779098154,-117.10182102257428,WOOD
32.68864112294774,-117.11972854330752,WOOD
33.093075201234136,-117.13305562915724,WOOD
32.793382714547874,-117.23937671808092,WOOD
33.02452450084952,-117.1908307009308,WOOD
32.75251441225108,-117.10036305581951,WOOD
32.85754073029285,-116.52081669223293,STEEL
32.73332100543184,-117.16150860417416,WOOD
32.68161926422853,-117.1029900213952,WOOD
32.77661349098011,-116.9268849972407,WOOD
33.200181964068626,-117.20743179783716,WOOD
32.97231105300241,-117.0322223133354,WOOD
32.79581656524583,-117.0585796519275,WOOD
32.701727024365645,-117.1051769220944,WOOD
33.181164863180484,-117.35817203625788,WOOD
33.37281780748632,-117.176619030498,WOOD
32.77583804442612,-116.94147562881254,WOOD
32.76339499600765,-117.14581225077444,WOOD
33.34708029996623,-117.14716229105468,WOOD
32.728622326541576,-117.0794551647709,WOOD
32.7624714837334,-117.08225083475452,WOOD
32.7847463681571,-117.06469275400298,WOOD
33.28232421342528,-117.08705208967974,WOOD
32.81624616430432,-116.92817659662614,WOOD
33.21932811144068,-117.33904044905388,WOOD
33.28549733397084,-116.96227207693948,WOOD
32.79333565452271,-117.14176862697632,WOOD
32.821951990402646,-116.53087963126772,WOOD
33.07077234939655,-116.57479001083148,WOOD
32.71440928807824,-116.50342148104296,STEEL
32.68644776781901,-116.29790299003592,WOOD
33.18100655449281,-116.9470354484947,WOOD
32.772325949082145,-117.25184694749106,WOOD
33.30491477463793,-116.93077017269373,WOOD
33.28412101940732,-117.02348291229828,WOOD
32.823700837432774,-117.25160478919726,WOOD
32.667083477233426,-116.28111881252364,WOOD
33.2849622642376,-116.6323252721994,WOOD
33.26002263152061,-117.2640997698152,WOOD
32.86572096137344,-116.9171542780247,WOOD
33.41890335732378,-117.14019992792254,WOOD
33.19246596246201,-117.21348022846342,WOOD
32.645694394973816,-117.0526153876551,WOOD
33.24589376690327,-116.6767427641818,STEEL
33.26242799360747,-116.94760346385368,WOOD
32.7132916093198,-116.6668967423856,WOOD
32.81221035630439,-117.24124302982985,WOOD
33.23458069966083,-117.2424291481558,WOOD
32.71137984040509,-116.75982595048296,WOOD
32.79125252129191,-116.9435132629714,WOOD
32.75421626441665,-117.11422933144851,WOOD
32.58147371232351,-117.10133770650349,WOOD
33.30162218080694,-117.18580451978156,WOOD
32.860493860104285,-116.834460375557,WOOD
33.05424678387127,-116.84288507914005,WOOD
33.21168280957987,-117.2155072908884,WOOD
33.42816924857812,-117.62120054782524,WOOD
33.04032664280802,-116.64138451557662,WOOD
